0,0.0,0,105.04,132.90910970281988,105.04,132.90910970281988
50,1.0416666666666667,12,6994.088399999999,8849.753069562254,6932.64,9549.519532147604
100,2.0833333333333335,25,14147.57500000002,17901.195713098543,13891.540000000028,19197.059532701056
150,3.125,37,21272.963400000048,26917.08516978938,20719.14000000006,28613.66995514589
200,4.166666666666667,50,28682.48500000008,36292.49376822635,27678.040000000095,38261.20995569932
250,5.208333333333333,62,36044.21340000011,45607.42872174854,34505.640000000116,47677.82037814407
300,6.25,75,43709.77000000014,55306.80327508613,41464.5400000001,57325.360378697456
350,7.291666666666667,87,51307.838400000175,64920.78372543966,48292.140000000094,66741.97080114218
400,8.333333333333334,100,59229.430000000204,74944.12423367762,55251.04000000008,76389.51080169539
450,9.375,112,67063.83840000018,84857.15018086221,62078.64000000007,85806.12122413995
500,10.416666666666666,125,75241.46499999994,95204.45664400078,69037.53999999992,95453.66122469316
550,11.458333333333334,137,83312.21339999969,105416.52808801673,75865.13999999964,104870.27164713772
600,12.5,150,91745.87499999945,116087.80050605592,82824.03999999935,114517.81164769093
650,13.541666666666666,162,100052.96339999921,126598.9174469032,89651.63999999907,123934.4220701355
700,14.583333333333334,175,108742.65999999897,137594.15581984332,96610.53999999879,133581.9620706889
750,15.625,187,117286.08839999871,148404.3182575225,103438.1399999985,142998.57249313418
800,16.666666666666668,200,126231.81999999848,159723.52258536348,110397.03999999822,152646.11249368812
850,17.708333333333332,212,135011.58839999852,170832.730519874,117224.63999999793,162062.7229161334
900,18.75,225,144213.35499999882,182475.9008026156,124183.53999999765,171710.26291668735
950,19.791666666666668,237,153229.46339999913,193884.15423395747,131011.13999999737,181126.87333913264
1000,20.833333333333332,250,162687.26499999943,205851.2904715997,137970.03999999762,190774.41333968658
